COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	"Assawompsett Pond, Lakeville"	41.8351311	-70.9100533	10/14/1995	obsr232190
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/26/1998	obsr965477
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/5/1998	obsr451527
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury	42.84179	-70.8606	1/1/1976	obsr39970
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	"Lake Sabbatia, Taunton"	41.9418719	-71.1086655	2/26/1995	obsr18501
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	Bourne	41.74121	-70.59888	2/9/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury Beach State Reservation--Black Rock Creek	42.8230254	-70.8272867	3/6/1975	obsr288584
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/18/1998	obsr451527
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury Beach State Reservation	42.8268013	-70.8180008	2/23/1975	obsr134697
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	2/4/1998	obsr306774
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	3/19/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	11/25/1995	obsr292223
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Wachusett Reservoir (please use more refined location)	42.3828911	-71.7277861	12/27/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	3/17/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	"Upper Millpond, Brewster"	41.731424	-70.1161896	12/8/1991	obsr139783
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	2/28/1983	obsr44063
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	10/10/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Clinton	42.41679	-71.68281	3/25/1999	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury Beach State Reservation	42.8268013	-70.8180008	3/7/1975	obsr229717
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/1/1998	obsr162991
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Peabody	42.5279	-70.92869	3/29/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Taunton	41.9001	-71.08979	3/1/1995	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Nantucket	Miacomet Pond	41.2480636	-70.1156044	1/15/1997	obsr618773
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Clinton	42.41679	-71.68281	11/14/1999	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	Bourne	41.74121	-70.59888	1/31/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Newburyport	42.8125916	-70.8772964	1/24/1954	obsr171679
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Westminster	42.54589	-71.91062	4/1/1999	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Wachusett Reservoir (please use more refined location)	42.3828911	-71.7277861	12/13/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Great Herring Pond	41.8117554	-70.5665588	1/2/1998	obsr104695
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Lakeville	41.8459	-70.94949	11/5/1995	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Newburyport & Plum Island	42.7961671	-70.8408051	1/7/1976	obsr23645
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Wachusett Reservoir (please use more refined location)	42.3828911	-71.7277861	1/26/1995	obsr216617
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	3/2/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	1/18/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Lakeville	41.8459	-70.94949	11/1/1995	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	New Bedford	41.6362	-70.93418	12/28/1996	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	4/16/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	10/9/1996	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Westminster	42.54589	-71.91062	3/30/1999	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	New Bedford	41.6362	-70.93418	12/27/1996	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Acoaxet	41.507	-71.09669	3/29/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Newburyport Harbor	42.8116989	-70.839798	3/5/1975	obsr131673
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Clinton	42.41679	-71.68281	3/26/1999	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	11/3/1996	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	1/1/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	"Shawme Pond, Sandwich"	41.7557242	-70.5004858	2/15/1989	obsr137539
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	2/1/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Newburyport Harbor	42.8116989	-70.839798	3/7/1975	obsr52135
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Taunton	41.9001	-71.08979	2/28/1995	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Barnstable	Nye Pond	41.7274707	-70.4324155	2/15/1989	obsr137539
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	2/1/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Plymouth	Plymouth	41.9584007	-70.6672821	12/31/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	11/11/1997	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Essex	Salisbury	42.84179	-70.8606	2/23/1975	obsr39970
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Sterling	42.43759	-71.76062	11/30/1998	obsr339145
Tufted Duck	Aythya fuligula	1	Massachusetts	Worcester	Wachusett Reservoir	42.3636176	-71.7606354	1/1/1997	obsr141921
Tufted Duck	Aythya fuligula	1	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	3/14/1999	obsr339145
