common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampshire,South Hadley,42.25839,-72.57453,10/29/2005,obsr339145,0101000020E610000089247A19C52452C085CE6BEC12214540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Franklin,"Orange, Sandrah Drive",42.5778271,-72.3035529,12/14/2005,obsr197433,0101000020E6100000C88624696D1352C00B9F083DF6494540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Franklin,Orange,42.59039,-72.30983,12/23/2005,obsr339145,0101000020E610000076543541D41352C056F146E6914B4540
Swallow-tailed Kite,Elanoides forficatus,1,Massachusetts,Franklin,Leverett,42.45199,-72.50143,5/30/2005,obsr339145,0101000020E6100000EECEDA6D172052C03D0FEECEDA394540
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Massachusetts,Essex,Swampscott: Palmer Pond,42.4710708,-70.8892736,11/27/2005,obsr52135,0101000020E61000008E4CD1DBE9B851C0DF0C480C4C3C4540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampshire,South Hadley,42.25839,-72.57453,11/1/2005,obsr339145,0101000020E610000089247A19C52452C085CE6BEC12214540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampshire,South Hadley,42.25839,-72.57453,11/13/2005,obsr339145,0101000020E610000089247A19C52452C085CE6BEC12214540
Ruff,Calidris pugnax,1,Massachusetts,Barnstable,"Herring River, Wellfleet",41.9348807,-70.0597715,5/13/2005,obsr356118,0101000020E6100000E76ED74BD38351C0AF14B82BAAF74440
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Massachusetts,Essex,"Swampscott Beach Club, Swampscott",42.4723022,-70.8850781,11/27/2005,obsr130978,0101000020E6100000F9799D1EA5B851C0186A0366743C4540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Franklin,Orange,42.59039,-72.30983,12/9/2005,obsr339145,0101000020E610000076543541D41352C056F146E6914B4540
Curlew Sandpiper,Calidris ferruginea,1,Massachusetts,Essex,Joppa Flats Wildlife Sanctuary,42.7992227,-70.8470213,5/30/2005,obsr44024,0101000020E6100000FCA0D39835B651C0445CEFED4C664540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Franklin,New Salem,42.50429,-72.33203,12/16/2005,obsr339145,0101000020E61000009ED2C1FA3F1552C094D920938C404540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Franklin,Orange,42.59039,-72.30983,12/31/2005,obsr339145,0101000020E610000076543541D41352C056F146E6914B4540
